Country Code,Country Name,Series Code,Series Name,YR1960--1960,YR1961--1961,YR1962--1962,YR1963--1963,YR1964--1964,YR1965--1965,YR1966--1966,YR1967--1967,YR1968--1968,YR1969--1969,YR1970--1970,YR1971--1971,YR1972--1972,YR1973--1973,YR1974--1974,YR1975--1975,YR1976--1976,YR1977--1977,YR1978--1978,YR1979--1979,YR1980--1980,YR1981--1981,YR1982--1982,YR1983--1983,YR1984--1984,YR1985--1985,YR1986--1986,YR1987--1987,YR1988--1988,YR1989--1989,YR1990--1990,YR1991--1991,YR1992--1992,YR1993--1993,YR1994--1994,YR1995--1995,YR1996--1996,YR1997--1997,YR1998--1998,YR1999--1999,YR2000--2000,YR2001--2001,YR2002--2002,YR2003--2003,YR2004--2004,YR2005--2005,YR2006--2006,YR2007--2007,YR2008--2008,YR2009--2009,YR2010--2010,YR2011--2011
AGO,Angola,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1912118.068,1968283.358,2007915.239,2067610.192,2134758.078,2203010.043,2270584.105,2336387.911,2403417.744,2477260.218,2558827.58,2654955.153,2753242.766,2855221.421,2967822.891,3087220.003,3201055.844,3323255.586,3436221.501,3549422.129,..
AGO,Angola,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3663432.851,3798492.249,3972246.6,4095101.404,4208189.737,4315859.907,4427264.175,4540572.646,4662223.423,4804040.257,4960936.268,5100222.375,5280305.797,5450109.652,5596243.608,5751093.372,5898361.545,6086154.353,6320323.309,6565708.312,..
ATG,Antigua and Barbuda,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ATG,Antigua and Barbuda,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ATG,Antigua and Barbuda,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ARB,Arab World,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10520991.36,10796007,10977166.63,11576410.69,12113124.65,12649633.95,13198533.43,13625248.84,14286889.7,14499807.6,14627984.87,14790819.26,15675946.85,16466820.35,17099173.21,17871458.39,19233762.61,19874536.19,20315207.1,21075863.62,..
ARB,Arab World,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45626483.94,46040456.41,47780299.11,49488290.17,51263524.23,52649666.54,54188263.52,55421443.74,57061153.83,58258202.57,59746750.44,61539168.07,63398698.73,66226707.11,69464393.94,71561665.78,73997945.66,76493384.41,78710045.09,81004691.62,..
ARB,Arab World,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56159355.32,56823339.3,58766058.82,61110332.21,63368697.77,65289409.09,67379898.86,69056557.23,71342094.73,72724251.46,74390637.14,76342920.41,79037370.84,82698955.51,86535152.79,89416368.95,93267124.63,96400494.25,99033020.23,102032050.9,..
ARG,Argentina,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4485814.756,4470709.352,4355274.498,4320305.824,4062352.595,4245476.449,4496165.275,4737485.693,4752453.65,4903704.702,4819965.588,4972611.783,5213628.361,6070515.299,6284240.163,6366596.837,6569695.028,6744706.86,6828209.25,6753811.77,..
ARG,Argentina,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8177892.728,8199667.965,8048686.053,7992179.047,7602560.056,7809210.537,8063461.995,8318611.768,8285321.491,8196937.772,7999254.642,8136427.607,8408387.946,9200529.132,9557131.26,9780772.123,9992989.005,10064264.74,9959804.482,10273693.14,..
ARG,Argentina,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12663803.52,12658275.54,12411857.49,12317552,11662949.8,12052421.34,12569461.25,13065933.54,13044821.82,13098180.17,12797534.21,13112851.72,13626116.59,15273336.4,15847670.9,16142683.91,16556595.48,16797210.52,16797265.38,17033253.76,..
ARM,Armenia,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,475563.2961,447210.7977,456770.1511,456438.0757,472739.5853,467034.2565,464816.2558,465716.7498,454262.7976,444506.0645,433898.9719,466936.0353,448214.7406,428823.3169,437458.1501,445642.6945,427865.4439,428098.3274,423641.997,439005.4724,..
ARM,Armenia,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,640145.2314,589485.4411,591822.5876,594115.4572,601534.796,587421.9989,574577.8611,566198.3994,548377.6276,531205.3361,515576.3187,566726.7754,548299.0271,528499.1477,548937.48,568104.0174,583697.305,570321.2904,563904.886,578945.6089,..
ARM,Armenia,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1115547.28,1036794.129,1047932.725,1049884.201,1074979.515,1054686.79,1040758.036,1031944.389,1001216.119,976098.0666,949588.787,1033200.678,997247.9508,957920.1225,986325.1343,1014066.749,1011834.267,998473.7339,988599.8637,1016910.367,..
ABW,Aruba,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ABW,Aruba,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
ABW,Aruba,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
AUS,Australia,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3224521.098,3228636.497,3258616.877,3376748.454,3546680.783,3594454.529,3636667.72,3729605.394,3812906.227,3961002.222,4039886.169,4130329.47,4246708.928,4304433.816,4485575.028,4627105.755,4769186.575,4923872.206,4995435.178,5076074.608,..
AUS,Australia,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4498474.826,4450029.008,4462484.732,4588413.534,4724319.49,4769657.52,4799570.918,4870585.475,4956445.993,5055426.497,5082566.305,5181317.083,5268308.254,5385439.976,5538398.051,5663207.374,5851111.578,5995649.721,5988018.837,6147976.577,..
AUS,Australia,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7725379.037,7680856.358,7723611.761,7954425.691,8274560.061,8368437.197,8433968.699,8598332.303,8775522.916,9022056.828,9134772.659,9300306.769,9518153.529,9684972.225,10017421.48,10290423.35,10619575.48,10925790.75,10996338.77,11218763.97,..
AUT,Austria,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1417916.849,1470616.582,1485506.222,1580408.479,1580720.98,1565380.729,1575296.666,1582817.524,1609307.129,1619045.812,1644635.31,1689523.056,1713523.64,1697659.335,1736853.583,1784726.983,1824391.709,1872813.604,1897671.182,1906549.42,..
AUT,Austria,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2043628.8,2069022.06,2069713.755,2110924.235,2129544.866,2092607.642,2090301.933,2085544.569,2102063.871,2110566.746,2109680.477,2117817.756,2129453.092,2101590.791,2127732.765,2177375.553,2239138.986,2254995.019,2223628.306,2238314.488,..
AUT,Austria,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3461919.545,3536294.103,3555524.756,3690872.906,3709464.627,3658330.299,3667956.329,3666275.955,3708249.356,3725630.526,3754846.296,3808610.114,3842620.785,3800589.266,3864435.747,3964665.506,4062629.866,4128488.413,4126402.177,4142392.668,..
AZE,Azerbaijan,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1245183.136,1280633.421,1314113.873,1343086.636,1369403.143,1409724.603,1441592.302,1471086.017,1531961.901,1568368.205,1605320.151,1638965.25,1670999.812,1752299.244,1819700.357,1897532.237,1964834.979,2045422.852,2067310.464,2107795.124,..
AZE,Azerbaijan,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1445875.268,1467711.655,1492038.317,1532446.168,1540489.479,1586283.467,1611360.591,1639944.621,1709789.335,1719804.771,1733190.984,1742540.291,1753201.305,1828213.531,1885883.402,1954236.406,1988548.186,2056635.883,2169988.315,2210655.306,..
AZE,Azerbaijan,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2689572.677,2748335.526,2807963.083,2877859.716,2906389.436,2995676.357,3052765.073,3111213.514,3237230.599,3287278.732,3341143.313,3384698.767,3425206.038,3577215.958,3707296.37,3855794.954,3955800.181,4100336.994,4234788.927,4319206.45,..
BHS,"Bahamas, The",SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52238.51758,51838.14681,55230.88053,56420.45968,59002.8,57744.20711,60500.91806,62102.35165,63774.54451,65966.99317,68937.10459,69406.61722,69530.21096,72151.9379,74119.55306,78653.99271,80253.61302,82095.07008,78492.20397,80896.2071,..
BHS,"Bahamas, The",SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61049.47519,61926.27538,64542.50695,66393.76354,68369.61,68838.40678,67862.07665,68114.79085,69872.23017,71669.26654,73222.66625,73724.01886,75306.39289,78178.26977,81003.25174,85749.66903,88356.06217,89604.11597,86973.32416,89563.87392,..
BHS,"Bahamas, The",SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113418.5149,113742.9287,119835.4631,122814.8323,127292.6909,126687.4911,128315.6047,130176.2522,133652.9851,137655.8852,142238.5109,143198.7183,144713.613,150421.8338,155107.8756,164261.7432,168482.9514,171659.3968,165562.88,170553.7119,..
BHR,Bahrain,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34444.93648,34362.2793,36704.955,39348.02374,43398.20259,46214.70239,49143.99161,52162.8,55185.53128,56042.0953,59791.77306,58242.05142,57217.64007,55979.68991,61270.33,68997.67493,79571.3941,90931.64667,101568.8692,110142.4067,..
BHR,Bahrain,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,174032.7193,179281.4577,185101.6892,191015.1045,197845.0308,204396.6247,211157.5521,218785.208,224498.9155,226214.3722,225799.4276,218588.44,214951.3033,221355.9164,249124.13,296336.0696,360307.0508,430954.9415,494720.1323,544385.1349,..
BHR,Bahrain,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,208488.3296,213625.9428,222049.9084,230418.4368,241133.475,250671.0482,260148.0734,270840.18,279845.6184,282211.815,285283.314,276676.3568,271937.5062,277061.2265,310181.544,365607.8588,440224.5303,521395.768,596514.9863,654865.0284,..
BGD,Bangladesh,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17939366.84,18312881.8,18656332.56,19003088.27,19354761.41,19745767.29,19923125.38,20384738.59,20499796.22,20747693.93,21425746.77,22111170.55,22543080.69,23049836.98,23500290.32,24583164.69,25302844.73,26026295.71,26761488.49,27514000.75,..
BGD,Bangladesh,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27439256.81,28143561.29,28961279.41,29769491.5,30606815.02,31510528.54,32210327.78,33153026.76,33821833.23,34643550.94,35506812.61,36368256.21,36890121.63,37761784.89,38947772.33,39253223.11,39870534.32,40514216.68,41144583.99,41851672.48,..
BGD,Bangladesh,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45385818.86,46500308.01,47630175.67,48787132.16,49977888.05,51274100.92,52152626.13,53560558.4,54346202.4,55418386.59,56973382.49,58448471.33,59462336.69,60857081.23,62463944.6,63814683.16,65198146.27,66563869.77,67970945.51,69358780.1,..
BRB,Barbados,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49860.90834,47283.20053,45682.91832,46787.92315,50850.2392,55041.45511,54083.38079,55797.28719,57997.86754,59749.2,60201.3573,59326.47556,60334.25569,62137.07069,63402.44916,64440.87888,66256.8582,66157.065,66148.92974,67039.83,..
BRB,Barbados,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61372.42875,57687.39837,56777.42794,60292.55631,62398.95125,64544.15977,66325.35628,69139.35511,70878.07014,72120.795,72441.32107,72025.32101,71696.29606,74212.61422,75162.56163,76119.43253,77514.55551,77712.34,78006.55563,79170.83661,..
BRB,Barbados,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,111330.4028,105018.1293,102555.0348,107099.6278,113320.8705,119622.9736,120463.6871,125060.4883,128933.5342,131875.2108,132617.249,131318.1497,131963.4718,136290.5474,138710.7683,140478.2289,143782.1746,143762.7746,144153.0053,146088.0641,..
BLR,Belarus,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2248523.032,2218896.536,2191581.803,2163130.131,2132249.649,2142114.439,2130296.172,2105760.726,2084912.081,2091506.449,2088572.938,2083348.001,2080417.502,2075874.046,2059886.297,2051132.413,2037792.634,2007466.372,1967634.877,1986506.493,..
BLR,Belarus,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2364647.164,2342071.161,2324916.86,2297694.141,2267184.301,2270770.899,2247940.169,2213864.332,2179657.943,2172426.634,2164399.098,2157703.898,2152317.097,2144747.906,2133893.362,2120534.602,2106449.954,2078203.95,2038102.331,2057875.926,..
BLR,Belarus,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4618670.808,4561762.247,4516917.949,4460264.872,4397971.093,4410597.505,4382556.117,4322596.067,4261832.645,4259837.569,4256349.889,4240006.19,4227258.174,4218987.55,4196757.325,4170396.776,4143256.373,4089442.163,4001706.982,4041354.604,..
BEL,Belgium,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1428986.21,1487002.885,1498009.328,1499287.287,1520826.858,1525286.201,1565409.435,1588041.469,1685137.966,1747722.851,1710985.107,1741652.672,1767300.643,1802038.544,1856900.689,1882557.385,1946026.418,1988295.906,1989662.055,2030256.748,..
BEL,Belgium,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2312837.938,2310232.922,2266041.776,2263594.54,2283448.59,2279275.722,2288633.129,2285159.027,2318552.597,2393004.181,2357990.305,2353549.243,2322827.317,2359141.148,2402868.254,2403116.208,2456583.301,2464499.517,2433136.196,2456033.436,..
BEL,Belgium,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3742595.747,3795364.573,3763987.034,3762312.536,3807505.665,3811341.567,3851145.74,3873381.535,4005967.24,4139025.563,4062776.119,4100595.784,4093645.5,4164618.729,4258326.628,4287468.535,4399342.752,4452505.087,4425584.337,4483732.775,..
BLZ,Belize,SL.EMP.TOTL.FE,"Total employment, female (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16553.82014,16979.01063,17833.01118,18305.59905,18392.15192,18996.71734,19656.0254,20725.39302,22130.74172,24533.81176,27003.3133,28315.34447,29996.50613,31812.86315,33227.13629,36813.54136,39731.33059,42458.3385,44821.71002,47623.77315,..
BLZ,Belize,SL.EMP.TOTL.MA,"Total employment, male (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40279.42687,41070.07194,42742.16127,43450.12526,45743.49957,47530.27528,50833.88371,51659.04823,53748.13395,55850.28526,58610.498,60115.5309,62055.1977,64097.65166,66587.11894,70055.61582,73954.91018,77582.92037,81061.43205,85084.16665,..
BLZ,Belize,SL.EMP.TOTL,"Total employment, total (ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56884.99591,58033.50616,60601.30379,61753.39601,64178.23416,66533.43981,70459.05461,72429.15391,75880.98463,80422.29469,85554.35817,88355.89894,92054.56165,96008.77819,99849.88991,106933.9349,113600.6601,120101.693,125894.0143,132777.0132,..
