"","STS_ID","STS_ID_CONSTR1","STS_ID_CONSTR2","STS_ID_WEIGHT","CONSTRUCTION_TYPE","GROWTH_RATE_FREQ","GROWTH_TYPE","AGGREGATION","THRESHOLD_PROP","THRESHOLD_COUNTRIES","SCALING","COMMENTS_construction","TITLE_STS","TITLE_STS_SHORT","UNIT_MULT","UNIT_MEASURE","DEFINITION","OWNER","SOURCE","DATA_TYPE","SQL_DOMAIN_CODE","SQL_ELEMENT_CODE","SQL_ITEM_CODE","WDINAME","COMMENTS_metadata","TOPIC","[EMPTY]"
"130","CS.GCS.LI.USD.NO","","","","",NA,"","sum",0,0,NA,"","Gross capital stock, livestock inventory (constant 2005 prices)","Livestock inventory","million","US$","See 'Gross capital stock (constant 2005 prices)'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","CS",6115,23008,"","","capital stock",NA
"131","CS.GCS.LI.USD.SH","CS.GCS.LI.USD.NO","CS.GCS.TOT.USD.NO","CS.GCS.TOT.USD.NO","share",NA,"","weighted.mean",0,0,100,"","Gross capital stock, livestock inventory (share of gross capital stock)","Livestock inventory","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","capital stock",NA
"132","CS.GCS.ME.USD.NO","","","","",NA,"","sum",0,0,NA,"","Gross capital stock, machinery & equipment (constant 2005 prices)","Machinery and equipment","million","US$","See 'Gross capital stock (constant 2005 prices)'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","CS",6115,23009,"","","capital stock",NA
"133","CS.GCS.ME.USD.SH","CS.GCS.ME.USD.NO","CS.GCS.TOT.USD.NO","CS.GCS.TOT.USD.NO","share",NA,"","weighted.mean",0,0,100,"","Gross capital stock, machinery & equipment (share of gross capital stock)","Machinery and equipment","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","capital stock",NA
"134","CS.GCS.PC.USD.NO","","","","",NA,"","sum",0,0,NA,"","Gross capital stock, plantation crops (constant 2005 prices)","Plantation crops","million","US$","See 'Gross capital stock (constant 2005 prices)'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","CS",6115,23010,"","","capital stock",NA
"135","CS.GCS.PC.USD.SH","CS.GCS.PC.USD.NO","CS.GCS.TOT.USD.NO","CS.GCS.TOT.USD.NO","share",NA,"","weighted.mean",0,0,100,"","Gross capital stock, plantation crops (share of gross capital stock)","Plantation crops","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","capital stock",NA
"136","CS.GCS.SL.USD.NO","","","","",NA,"","sum",0,0,NA,"","Gross capital stock, structures for livestock (constant 2005 prices)","Structures for livestock","million","US$","See 'Gross capital stock (constant 2005 prices)'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","CS",6115,23011,"","","capital stock",NA
"137","CS.GCS.SL.USD.SH","CS.GCS.SL.USD.NO","CS.GCS.TOT.USD.NO","CS.GCS.TOT.USD.NO","share",NA,"","weighted.mean",0,0,100,"","Gross capital stock, structures for livestock (share of gross capital stock)","Structures for livestock","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","capital stock",NA
"138","RM.MA.TRA.TR.NO","","","","",NA,"","sum",0,0,NA,"","Agricultural tractors, total (tractors)","Tractors","","tractors","Agricultural tractors generally refer to wheel and crawler or track-laying type tractors (excluding garden tractors) used in agriculture. Data are expressed in numbers in use in the agricultural sector.","FAO","FAO, Statistics Division (FAOSTAT)","raw","RM",5116,2455011,"","","machinery",NA
"139","IG.AFFH.STOCGG.USD.SH","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Agriculture, Forestry, Fishing, and Hunting, Cash (Budg. Cen. Govt.) (share of total outlays)","","","percent","See 'Government expenditure'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","IG",6111,23030,"","","government expenditures",NA
"140","IG.AFFH.STONCGG.USD.SH","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Agriculture, Forestry, Fishing, and Hunting, Noncash (Budg. Cen. Govt.)  (share of total outlays)","","","percent","See 'Government expenditure'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","IG",6111,23031,"","","government expenditures",NA
"141","IG.AFFH.SAGCGG.USD.SH","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Agriculture, Forestry, Fishing, and Hunting, Cash (Budg. Cen. Govt.) (share of agricultural GDP)","","","percent","See 'Government expenditure'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","IG",6106,23030,"","","government expenditures",NA
"142","IG.AFFH.SAGNCGG.USD.SH","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Agriculture, Forestry, Fishing, and Hunting, Noncash (Budg. Cen. Govt.)  (share of agricultural GDP)","","","percent","See 'Government expenditure'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","IG",6106,23031,"","","government expenditures",NA
"143","IG.EP.STOCGG.USD.SH","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Environmental Protection, Cash (Budg. Cen. Govt.) (share of total outlays)","","","percent","See 'Government expenditure'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","IG",6111,23036,"","","government expenditures",NA
"144","IG.EP.STONCGG.USD.SH","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Environmental Protection, Noncash (Budg. Cen. Govt.)  (share of total outlays)","","","percent","See 'Government expenditure'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","IG",6111,23037,"","","government expenditures",NA
"145","AA.RES.TP.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Researchers, total public (researchers)","Total public","","researchers (full-time equivalent)","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AA",6087,23050,"","","asti",NA
"146","AA.RES.GOV.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Researchers, government (researchers)","Government","","researchers (full-time equivalent)","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AA",6087,23051,"","","asti",NA
"147","AA.RES.HE.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Researchers, higher education (researchers)","Higher education","","researchers (full-time equivalent)","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AA",6087,23052,"","","asti",NA
"148","AA.RES.NP.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Researchers, nonprofit (researchers)","Nonprofit","","researchers (full-time equivalent)","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AA",6087,23053,"","","asti",NA
"149","AE.EXP.TP.PPP.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Expenditures, total public (PPP in 2005 prices)","Total public","","PPP in 2005 prices","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AE",6092,23050,"","","asti",NA
"150","AE.EXP.GOV.PPP.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Expenditures, government (PPP in 2005 prices)","Government","","PPP in 2005 prices","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AE",6092,23051,"","","asti",NA
"151","AE.EXP.HE.PPP.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Expenditures, higher education (PPP in 2005 prices)","Higher education","","PPP in 2005 prices","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AE",6092,23052,"","","asti",NA
"152","AE.EXP.NP.PPP.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Expenditures, nonprofit (PPP in 2005 prices)","Nonprofit","","PPP in 2005 prices","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AE",6092,23053,"","","asti",NA
"153","AR.RES.TPHD.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","PhD researchers, total","Total PhD","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23054,"","","asti",NA
"154","AR.RES.TMSC.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","MSc researchers, total","Total MSc","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23055,"","","asti",NA
"155","AR.RES.TBSC.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","BSc researchers, total","Total BSc","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23056,"","","asti",NA
"156","AR.RES.MPHD.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","PhD researchers, male","Male PhD","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23057,"","","asti",NA
"157","AR.RES.MMSC.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","MSc researchers, male","Male MSc","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23058,"","","asti",NA
"158","AR.RES.MBSC.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","BSc researchers, male","Male BSc","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23059,"","","asti",NA
"159","AR.RES.FPHD.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","PhD researchers, female","Female PhD","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23060,"","","asti",NA
"160","AR.RES.FMSC.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","MSc researchers, female","Female MSc","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23061,"","","asti",NA
"161","AR.RES.FBSC.RES.NO","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","BSc researchers, female","Female BSc","","researchers","","Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)","raw","AR",6089,23062,"","","asti",NA
"162","IT.CEL.SETS","","","","",NA,"","sum",0,0,NA,"","Mobile cellular subscriptions (subscriptions)","Mobile cellular subscriptions","","subscriptions","Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.","World Bank (WDI)","raw","",NA,NA,"IT.CEL.SETS","","innovation",NA
"163","IT.CEL.SETS.GR12","IT.CEL.SETS","","IT.CEL.SETS","growth",12,"geo","weighted.mean",0,0,NA,"","Mobile cellular subscriptions annual growth (percent)","Mobile cellular subscriptions","","percent","","","World Bank (WDI)","processed","",NA,NA,"","","innovation",NA
"164","IT.NET.BBND.P2","","","OA.TPBS.POP.PPL.NO","",NA,"","weighted.mean",0,0,NA,"","Fixed broadband Internet subscribers (per 100 people)","Internet","","subscribers per 100 people","Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.","World Bank (WDI)","raw","",NA,NA,"IT.NET.BBND.P2","","innovation",NA
"165","IT.CEL.SETS.P2","","","OA.TPBS.POP.PPL.NO","",NA,"","weighted.mean",0,0,NA,"","Mobile cellular subscriptions (per 100 people)","Mobile cellulars","","subscribers per 100 people","Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.","World Bank (WDI)","raw","",NA,NA,"IT.CEL.SETS.P2","","innovation",NA
"166","IT.MLT.MAIN.P2","","","OA.TPBS.POP.PPL.NO","",NA,"","weighted.mean",0,0,NA,"","Telephone lines (per 100 people)","Telephone lines","","subscribers per 100 people","Telephone lines are fixed telephone lines that connect a subscriber's terminal equipment to the public switched telephone network and that have a port on a telephone exchange. Integrated services digital network channels ands fixed wireless subscribers are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.","World Bank (WDI)","raw","",NA,NA,"IT.MLT.MAIN.P2","","innovation",NA
"167","IQ.CPA.BREG.XQ","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","CPIA business regulatory environment rating (1=low to 6=high)","CPIA business rating","","rating","Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","World Bank Group, CPIA database (http://www.worldbank.org/ida).","World Bank (WDI)","raw","",NA,NA,"IQ.CPA.BREG.XQ","","innovation",NA
"168","SI.POV.GAPS","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty gap at $1.25 a day PPP (percent)","PG $1.25","","percent","Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.POV.GAPS","","poverty",NA
"169","SI.POV.GAP2","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty gap at $2 a day PPP (percente)","PG $2","","percent","Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.POV.GAP2","","poverty",NA
"170","SI.POV.NAGP","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty gap at national poverty line (percent)","PG national poverty line","","percent","Poverty gap at national poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.","World Bank (WDI)","raw","",NA,NA,"SI.POV.NAGP","","poverty",NA
"171","SI.POV.RUGP","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty gap at rural poverty line (percent)","PG rural poverty line","","percent","Poverty gap at rural poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national rural poverty line. This measure reflects the depth of poverty as well as its incidence.","Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.","World Bank (WDI)","raw","",NA,NA,"SI.POV.RUGP","","poverty",NA
"172","SI.POV.URGP","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty gap at urban poverty line (percent)","PG urban poverty line","","percent","Poverty gap at urban poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national urban poverty line. This measure reflects the depth of poverty as well as its incidence.","Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.","World Bank (WDI)","raw","",NA,NA,"SI.POV.URGP","","poverty",NA
"173","SI.POV.DDAY","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty headcount ratio at $1.25 a day PPP (percent of population)","PHR $1.25","","percent","Population below $1.25 a day is the percentage of the population living on less than $1.25 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.POV.DDAY","","poverty",NA
"174","SI.POV.2DAY","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty headcount ratio at $2 a day PPP (percent of population)","PHR $2","","percent","Population below $2 a day is the percentage of the population living on less than $2.00 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.POV.2DAY","","poverty",NA
"175","SI.POV.NAHC","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty headcount ratio at national poverty line (percent of population)","PHR national poverty line","","percent","Poverty headcount ratio at national poverty line (% of population).","Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.","World Bank (WDI)","raw","",NA,NA,"SI.POV.NAHC","","poverty",NA
"176","SI.POV.RUHC","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty headcount ratio at rural poverty line (percent of rural population)","PHR rural poverty line","","percent","Rural poverty rate is the percentage of the rural population living below the national rural poverty line.","Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.","World Bank (WDI)","raw","",NA,NA,"SI.POV.RUHC","","poverty",NA
"177","SI.POV.URHC","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Poverty headcount ratio at urban poverty line (percent of urban population)","PHR urban poverty line","","percent","Urban poverty rate is the percentage of the urban population living below the national urban poverty line.","Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.","World Bank (WDI)","raw","",NA,NA,"SI.POV.URHC","","poverty",NA
"178","SI.POV.GINI","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","GINI index","GINI","","index","Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.POV.GINI","","poverty",NA
"179","SI.DST.05TH.20","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Income share held by highest 20% (percent)","","","percent","Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.DST.05TH.20","","poverty",NA
"180","SI.DST.FRST.20","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","Income share held by lowest 20% (percent)","","","percent","Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).","World Bank (WDI)","raw","",NA,NA,"SI.DST.FRST.20","","poverty",NA
"181","SE.PRM.CMPT.ZS","","","OA.TPBS.POP.PPL.NO","",NA,"","weighted.mean",0,0,NA,"","Primary completion rate, total (percent of relevant age group)","","","percent","Primary completion rate is the percentage of students completing the last year of primary school. It is calculated by taking the total number of students in the last grade of primary school, minus the number of repeaters in that grade, divided by the total number of children of official graduation age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.","World Bank (WDI)","raw","",NA,NA,"SE.PRM.CMPT.ZS","","education",NA
"182","SE.ADT.LITR.FE.ZS","","","","",NA,"","discard",0,0,NA,"we cannot compute the aggs weighting by POP.TOT�aggs too different","Literacy rate, adult female (percent of females ages 15 and above)","","","percent","Adult literacy rate is the percentage of people ages 15 and above who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.","World Bank (WDI)","raw","",NA,NA,"SE.ADT.LITR.FE.ZS","","education",NA
"183","SE.ENR.PRSC.FM.ZS","","","OA.TPBS.POP.PPL.NO","",NA,"","weighted.mean",0,0,NA,"","Ratio of girls to boys in primary and secondary education (percent)","","","percent","Ratio of girls to boys in primary and secondary education is the percentage of girls to boys enrolled at primary and secondary levels in public and private schools.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.","World Bank (WDI)","raw","",NA,NA,"SE.ENR.PRSC.FM.ZS","","education",NA
"184","SE.PRM.NENR.FE","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","School enrollment, primary, female (percent net)","","","percent","Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.","World Bank (WDI)","raw","",NA,NA,"SE.PRM.NENR.FE","","education",NA
"185","SE.PRM.NENR.MA","","","","",NA,"","discard",0,0,NA,"no aggregation has to be done","School enrollment, primary, male (percent net)","","","percent","Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.","World Bank (WDI)","raw","",NA,NA,"SE.PRM.NENR.MA","","education",NA
"186","SH.XPD.TOTL.ZS","","","NY.GDP.MKTP.CD","",NA,"","weighted.mean",0,0,NA,"","Health expenditure, total (percent of GDP)","","","percent","Total health expenditure is the sum of public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation.","World Health Organization National Health Account database (see http://apps.who.int/nha/database for the most recent updates).","World Bank (WDI)","raw","",NA,NA,"SH.XPD.TOTL.ZS","","health",NA
"187","EN.CLC.MDAT.ZS","","","OA.TPBS.POP.PPL.NO","",NA,"","weighted.mean",0,0,NA,"","Droughts, floods, extreme temperatures (percent of population affected, average 1990-2009)","","","percent","Droughts, floods and extreme temperatures is the annual average percentage of the population that is affected by natural disasters classified as either droughts, floods, or extreme temperature events.  A drought is an extended period of time characterized by a deficiency in a region's water supply that is the result of constantly below average precipitation. A drought can lead to losses to agriculture, affect inland navigation and hydropower plants, and cause a lack of drinking water and famine. A flood is a significant rise of water level in a stream, lake, reservoir or coastal region. Extreme temperature events are either cold waves or heat waves. A cold wave can be both a prolonged period of excessively cold weather and the sudden invasion of very cold air over a large area. Along with frost it can cause damage to agriculture, infrastructure, and property.  A heat wave is a prolonged period of excessively hot and sometimes also humid weather relative to normal climate patterns of a certain region. Population affected is the number of people injured, left homeless or requiring immediate assistance during a period of emergency resulting from a natural disaster; it can also include displaced or evacuated people. Average percentage of population affected is calculated by dividing the sum of total affected for the period stated by the sum of the annual population figures for the period stated.","EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Universite Catholique de Louvain, Brussels (Belgium), World Bank.","World Bank (WDI)","raw","",NA,NA,"EN.CLC.MDAT.ZS","","natural disasters",NA
"188","QC.PRD.CRLS.TN.NO","","","","",NA,"","sum",0,0,NA,"","Cereals production (tonnes)","Cereals production","","tonnes","See 'Cereals' and 'Crop production'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","QC",5510,1717,"","","cereals, production",NA
"189","QC.PRD.CRLS.TN.SHP","QC.PRD.CRLS.TN.NO","OA.TPBS.POP.PPL.NO","OA.TPBS.POP.PPL.NO","share",NA,"","weighted.mean",0,0,1000,"from tonne/cap to kg/cap","Cereals production per capita (tonne/cap)","Cereals production","","tonne/cap","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"190","QC.PRD.CRLS.TN.GR10","QC.PRD.CRLS.TN.NO","","QC.PRD.CRLS.TN.NO","growth",10,"geo","weighted.mean",0,0,NA,"ls","Cereals production annual growth (percent)","Production","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"191","QC.PRD.CRLS.TN.GR12","QC.PRD.CRLS.TN.NO","","QC.PRD.CRLS.TN.NO","growth",12,"geo","weighted.mean",0,0,NA,"ls","Cereals production annual growth (percent)","Production","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"192","QC.RHRV.CRLS.HA.NO","","","","",NA,"","sum",0,0,NA,"","Cereals harvested area (ha)","Cereals harvested area","","ha","See 'Cereals' and 'Crop area'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","QC",5312,1717,"","","cereals, production",NA
"193","QC.RHRV.CRLS.HA.GR10","QC.RHRV.CRLS.HA.NO","","QC.RHRV.CRLS.HA.NO","growth",10,"geo","weighted.mean",0,0,NA,"ls","Cereals harvested area annual growth (percent)","Harvested area","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"194","QC.RHRV.CRLS.HA.GR12","QC.RHRV.CRLS.HA.NO","","QC.RHRV.CRLS.HA.NO","growth",12,"geo","weighted.mean",0,0,NA,"ls","Cereals harvested area annual growth (percent)","Harvested area","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"195","QC.YIELD.CRLS.HG.NO","","","QC.RHRV.CRLS.HA.NO","",NA,"","weighted.mean",0,0,NA,"I weighted the yield by the harvested area","Cereals yield (hg/ha)","Cereals yield","","hg/ha","See 'Cereals' and 'Crop yield'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","QC",5419,1717,"","","cereals, production",NA
"196","QC.YIELD.CRLS.HG.GR10","QC.YIELD.CRLS.HG.NO","","QC.YIELD.CRLS.HG.NO","growth",10,"geo","weighted.mean",0,0,NA,"ls","Cereals yield annual growth (percent)","Yield","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"197","QC.YIELD.CRLS.HG.GR12","QC.YIELD.CRLS.HG.NO","","QC.YIELD.CRLS.HG.NO","growth",12,"geo","weighted.mean",0,0,NA,"ls","Cereals yield annual growth (percent)","Yield","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","cereals, production",NA
"198","QC.PRD.CRSGRN.TN.NO","","","","",NA,"","sum",0,0,NA,"","Coarse grain production (tonnes)","Coarse grain production","","tonnes","See 'Coarse grain' and 'Crop production'.","FAO","FAO, Statistics Division (FAOSTAT)","raw","QC",5510,1814,"","","coarse grain, production",NA
"199","QC.PRD.CRSGRN.TN.SHW","QC.PRD.CRSGRN.TN.NO","","","share",NA,"","sum",0,0,100,"","Coarse grain production, share of world","Coarse grain production","","percent","","","FAO, Statistics Division (FAOSTAT)","processed","",NA,NA,"","","coarse grain, production",NA
