STS_ID,TITLE_STS,TITLE_STS_SHORT,UNIT_MULT,UNIT_MEASURE,DEFINITION,OWNER,SOURCE,DATA_TYPE,SQL_DOMAIN_CODE,SQL_ELEMENT_CODE,SQL_ITEM_CODE,WDINAME,COMMENTS,TOPIC
CS.GCS.LD.USD.NO,"Gross capital stock, land development (constant 2005 prices)",Land development,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23006,,,capital stock
CS.GCS.LD.USD.SH,"Gross capital stock, land development (share of gross capital stock)",Land development,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.LFA.USD.NO,"Gross capital stock, livestock fixed assets (constant 2005 prices)",Livestock fixed assets,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23007,,,capital stock
CS.GCS.LFA.USD.SH,"Gross capital stock, livestock fixed assets (share of gross capital stock)",Livestock fixed assets,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.LI.USD.NO,"Gross capital stock, livestock inventory (constant 2005 prices)",Livestock inventory,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23008,,,capital stock
CS.GCS.LI.USD.SH,"Gross capital stock, livestock inventory (share of gross capital stock)",Livestock inventory,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.ME.USD.NO,"Gross capital stock, machinery & equipment (constant 2005 prices)",Machinery and equipment,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23009,,,capital stock
CS.GCS.ME.USD.SH,"Gross capital stock, machinery & equipment (share of gross capital stock)",Machinery and equipment,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.PC.USD.NO,"Gross capital stock, plantation crops (constant 2005 prices)",Plantation crops,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23010,,,capital stock
CS.GCS.PC.USD.SH,"Gross capital stock, plantation crops (share of gross capital stock)",Plantation crops,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
CS.GCS.SL.USD.NO,"Gross capital stock, structures for livestock (constant 2005 prices)",Structures for livestock,million,US$,See 'Gross capital stock (constant 2005 prices)'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,CS,6115,23011,,,capital stock
CS.GCS.SL.USD.SH,"Gross capital stock, structures for livestock (share of gross capital stock)",Structures for livestock,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,capital stock
RM.MA.TRA.TR.NO,"Agricultural tractors, total (tractors)",Tractors,,tractors,Agricultural tractors generally refer to wheel and crawler or track-laying type tractors (excluding garden tractors) used in agriculture. Data are expressed in numbers in use in the agricultural sector.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,RM,5116,2455011,,,machinery
IG.AFFH.STOCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Cash (Budg. Cen. Govt.) (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23030,,,government expenditures
IG.AFFH.STONCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Noncash (Budg. Cen. Govt.)  (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23031,,,government expenditures
IG.AFFH.SAGCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Cash (Budg. Cen. Govt.) (share of agricultural GDP)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6106,23030,,,government expenditures
IG.AFFH.SAGNCGG.USD.SH,"Agriculture, Forestry, Fishing, and Hunting, Noncash (Budg. Cen. Govt.)  (share of agricultural GDP)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6106,23031,,,government expenditures
IG.EP.STOCGG.USD.SH,"Environmental Protection, Cash (Budg. Cen. Govt.) (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23036,,,government expenditures
IG.EP.STONCGG.USD.SH,"Environmental Protection, Noncash (Budg. Cen. Govt.)  (share of total outlays)",,,percent,See 'Government expenditure'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,IG,6111,23037,,,government expenditures
AA.RES.TP.RES.NO,"Researchers, total public (researchers)",Total public,,researchers (full-time equivalent),,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AA,6087,23050,,,asti
AA.RES.GOV.RES.NO,"Researchers, government (researchers)",Government,,researchers (full-time equivalent),,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AA,6087,23051,,,asti
AA.RES.HE.RES.NO,"Researchers, higher education (researchers)",Higher education,,researchers (full-time equivalent),,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AA,6087,23052,,,asti
AA.RES.NP.RES.NO,"Researchers, nonprofit (researchers)",Nonprofit,,researchers (full-time equivalent),,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AA,6087,23053,,,asti
AE.EXP.TP.PPP.NO,"Expenditures, total public (PPP in 2005 prices)",Total public,,PPP in 2005 prices,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AE,6092,23050,,,asti
AE.EXP.GOV.PPP.NO,"Expenditures, government (PPP in 2005 prices)",Government,,PPP in 2005 prices,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AE,6092,23051,,,asti
AE.EXP.HE.PPP.NO,"Expenditures, higher education (PPP in 2005 prices)",Higher education,,PPP in 2005 prices,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AE,6092,23052,,,asti
AE.EXP.NP.PPP.NO,"Expenditures, nonprofit (PPP in 2005 prices)",Nonprofit,,PPP in 2005 prices,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AE,6092,23053,,,asti
AR.RES.TPHD.RES.NO,"PhD researchers, total",Total PhD,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23054,,,asti
AR.RES.TMSC.RES.NO,"MSc researchers, total",Total MSc,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23055,,,asti
AR.RES.TBSC.RES.NO,"BSc researchers, total",Total BSc,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23056,,,asti
AR.RES.MPHD.RES.NO,"PhD researchers, male",Male PhD,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23057,,,asti
AR.RES.MMSC.RES.NO,"MSc researchers, male",Male MSc,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23058,,,asti
AR.RES.MBSC.RES.NO,"BSc researchers, male",Male BSc,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23059,,,asti
AR.RES.FPHD.RES.NO,"PhD researchers, female",Female PhD,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23060,,,asti
AR.RES.FMSC.RES.NO,"MSc researchers, female",Female MSc,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23061,,,asti
AR.RES.FBSC.RES.NO,"BSc researchers, female",Female BSc,,researchers,,"Agricultural Science and Technology Indicators (ASTI), IFPRI","FAO, Statistics Division (FAOSTAT)",raw,AR,6089,23062,,,asti
IT.CEL.SETS,Mobile cellular subscriptions (subscriptions),Mobile cellular subscriptions,,subscriptions,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.CEL.SETS,,innovation
IT.CEL.SETS.GR12,Mobile cellular subscriptions annual growth (percent),Mobile cellular subscriptions,,percent,,,World Bank (WDI),processed,,,,,,innovation
IT.NET.BBND.P2,Fixed broadband Internet subscribers (per 100 people),Internet,,subscribers per 100 people,"Fixed broadband Internet subscribers are the number of broadband subscribers with a digital subscriber line, cable modem, or other high-speed technology.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.NET.BBND.P2,,innovation
IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),Mobile cellulars,,subscribers per 100 people,"Mobile cellular telephone subscriptions are subscriptions to a public mobile telephone service using cellular technology, which provide access to the public switched telephone network. Post-paid and prepaid subscriptions are included.","International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.CEL.SETS.P2,,innovation
IT.MLT.MAIN.P2,Telephone lines (per 100 people),Telephone lines,,subscribers per 100 people,Telephone lines are fixed telephone lines that connect a subscriber's terminal equipment to the public switched telephone network and that have a port on a telephone exchange. Integrated services digital network channels ands fixed wireless subscribers are included.,"International Telecommunication Union, World Telecommunication/ICT Development Report and database, and World Bank estimates.",World Bank (WDI),raw,,,,IT.MLT.MAIN.P2,,innovation
IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high),CPIA business rating,,rating,"Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","World Bank Group, CPIA database (http://www.worldbank.org/ida).",World Bank (WDI),raw,,,,IQ.CPA.BREG.XQ,,innovation
SI.POV.GAPS,Poverty gap at $1.90 a day PPP (percent),PG $1.90,,percent,"Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.GAPS,,poverty
SI.POV.GAP2,Poverty gap at $2 a day PPP (percente),PG $2,,percent,"Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.GAP2,,poverty
SI.POV.NAGP,Poverty gap at national poverty line (percent),PG national poverty line,,percent,Poverty gap at national poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.NAGP,,poverty
SI.POV.RUGP,Poverty gap at rural poverty line (percent),PG rural poverty line,,percent,Poverty gap at rural poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national rural poverty line. This measure reflects the depth of poverty as well as its incidence.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.RUGP,,poverty
SI.POV.URGP,Poverty gap at urban poverty line (percent),PG urban poverty line,,percent,Poverty gap at urban poverty line is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall) as a percentage of the national urban poverty line. This measure reflects the depth of poverty as well as its incidence.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.URGP,,poverty
SI.POV.DDAY,Poverty headcount ratio at $1.90 a day PPP (percent of population),PHR $1.90,,percent,"Population below $1.25 a day is the percentage of the population living on less than $1.25 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.DDAY,,poverty
SI.POV.2DAY,Poverty headcount ratio at $2 a day PPP (percent of population),PHR $2,,percent,"Population below $2 a day is the percentage of the population living on less than $2.00 a day at 2005 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.2DAY,,poverty
SI.POV.NAHC,Poverty headcount ratio at national poverty line (percent of population),PHR national poverty line,,percent,Poverty headcount ratio at national poverty line (% of population).,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.NAHC,,poverty
SI.POV.RUHC,Poverty headcount ratio at rural poverty line (percent of rural population),PHR rural poverty line,,percent,Rural poverty rate is the percentage of the rural population living below the national rural poverty line.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.RUHC,,poverty
SI.POV.URHC,Poverty headcount ratio at urban poverty line (percent of urban population),PHR urban poverty line,,percent,Urban poverty rate is the percentage of the urban population living below the national urban poverty line.,Global Poverty Working Group. Data are based on World Bank's country poverty assessments and country Poverty Reduction Strategies.,World Bank (WDI),raw,,,,SI.POV.URHC,,poverty
SI.POV.GINI,GINI index,GINI,,index,"Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.","World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.POV.GINI,,poverty
SI.DST.05TH.20,Income share held by highest 20% (percent),,,percent,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.DST.05TH.20,,poverty
SI.DST.FRST.20,Income share held by lowest 20% (percent),,,percent,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,"World Bank, Development Research Group. Data are based on primary household survey data obtained from government statistical agencies and World Bank country departments. Data for high-income economies are from the Luxembourg Income Study database. For more information and methodology, please see PovcalNet (http://iresearch.worldbank.org/PovcalNet/index.htm).",World Bank (WDI),raw,,,,SI.DST.FRST.20,,poverty
SE.PRM.CMPT.ZS,"Primary completion rate, total (percent of relevant age group)",,,percent,"Primary completion rate is the percentage of students completing the last year of primary school. It is calculated by taking the total number of students in the last grade of primary school, minus the number of repeaters in that grade, divided by the total number of children of official graduation age.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.PRM.CMPT.ZS,,education
SE.ADT.LITR.FE.ZS,"Literacy rate, adult female (percent of females ages 15 and above)",,,percent,"Adult literacy rate is the percentage of people ages 15 and above who can, with understanding, read and write a short, simple statement on their everyday life.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.ADT.LITR.FE.ZS,,education
SE.ENR.PRSC.FM.ZS,Ratio of girls to boys in primary and secondary education (percent),,,percent,Ratio of girls to boys in primary and secondary education is the percentage of girls to boys enrolled at primary and secondary levels in public and private schools.,"United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.ENR.PRSC.FM.ZS,,education
SE.PRM.NENR.FE,"School enrollment, primary, female (percent net)",,,percent,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.PRM.NENR.FE,,education
SE.PRM.NENR.MA,"School enrollment, primary, male (percent net)",,,percent,"Net enrollment ratio is the ratio of children of official school age based on the International Standard Classification of Education 1997 who are enrolled in school to the population of the corresponding official school age. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","United Nations Educational, Scientific, and Cultural Organization (UNESCO) Institute for Statistics.",World Bank (WDI),raw,,,,SE.PRM.NENR.MA,,education
SH.XPD.TOTL.ZS,"Health expenditure, total (percent of GDP)",,,percent,"Total health expenditure is the sum of public and private health expenditure. It covers the provision of health services (preventive and curative), family planning activities, nutrition activities, and emergency aid designated for health but does not include provision of water and sanitation.",World Health Organization National Health Account database (see http://apps.who.int/nha/database for the most recent updates).,World Bank (WDI),raw,,,,SH.XPD.TOTL.ZS,,health
EN.CLC.MDAT.ZS,"Droughts, floods, extreme temperatures (percent of population affected, average 1990-2009)",,,percent,"Droughts, floods and extreme temperatures is the annual average percentage of the population that is affected by natural disasters classified as either droughts, floods, or extreme temperature events.  A drought is an extended period of time characterized by a deficiency in a region's water supply that is the result of constantly below average precipitation. A drought can lead to losses to agriculture, affect inland navigation and hydropower plants, and cause a lack of drinking water and famine. A flood is a significant rise of water level in a stream, lake, reservoir or coastal region. Extreme temperature events are either cold waves or heat waves. A cold wave can be both a prolonged period of excessively cold weather and the sudden invasion of very cold air over a large area. Along with frost it can cause damage to agriculture, infrastructure, and property.  A heat wave is a prolonged period of excessively hot and sometimes also humid weather relative to normal climate patterns of a certain region. Population affected is the number of people injured, left homeless or requiring immediate assistance during a period of emergency resulting from a natural disaster; it can also include displaced or evacuated people. Average percentage of population affected is calculated by dividing the sum of total affected for the period stated by the sum of the annual population figures for the period stated.","EM-DAT: The OFDA/CRED International Disaster Database: www.emdat.be, Universite Catholique de Louvain, Brussels (Belgium), World Bank.",World Bank (WDI),raw,,,,EN.CLC.MDAT.ZS,,natural disasters
QC.PRD.CRLS.TN.NO,Cereals production (tonnes),Cereals production,,tonnes,See 'Cereals' and 'Crop production'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5510,1717,,,"cereals, production"
QC.PRD.CRLS.TN.SHP,Cereals production per capita (tonne/cap),Cereals production,,tonne/cap,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.PRD.CRLS.TN.GR10,Cereals production annual growth (percent),Production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.PRD.CRLS.TN.GR12,Cereals production annual growth (percent),Production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.RHRV.CRLS.HA.NO,Cereals harvested area (ha),Cereals harvested area,,ha,See 'Cereals' and 'Crop area'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5312,1717,,,"cereals, production"
QC.RHRV.CRLS.HA.GR10,Cereals harvested area annual growth (percent),Harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.RHRV.CRLS.HA.GR12,Cereals harvested area annual growth (percent),Harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.YIELD.CRLS.HG.NO,Cereals yield (hg/ha),Cereals yield,,hg/ha,See 'Cereals' and 'Crop yield'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5419,1717,,,"cereals, production"
QC.YIELD.CRLS.HG.GR10,Cereals yield annual growth (percent),Yield,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.YIELD.CRLS.HG.GR12,Cereals yield annual growth (percent),Yield,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"cereals, production"
QC.PRD.CRSGRN.TN.NO,Coarse grain production (tonnes),Coarse grain production,,tonnes,See 'Coarse grain' and 'Crop production'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5510,1814,,,"coarse grain, production"
QC.PRD.CRSGRN.TN.SHW,"Coarse grain production, share of world",Coarse grain production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.PRD.CRSGRN.TN.SHP,Coarse grain production per capita (tonne/cap),Coarse grain production,,tonne/cap,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.PRD.CRSGRN.TN.GR10,Coarse grain production annual growth (percent),Coarse grain production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.PRD.CRSGRN.TN.GR12,Coarse grain production annual growth (percent),Coarse grain production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.RHRV.CRSGRN.HA.NO,Coarse grain harvested area (ha),Coarse grain harvested area,,ha,See 'Coarse grain' and 'Crop area'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5312,1814,,,"coarse grain, production"
QC.RHRV.CRSGRN.HA.SHW,"Coarse grain harvested area, share of world",Coarse grain harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.RHRV.CRSGRN.HA.SHL,"Coarse grain harvested area, share of agricultural land",Coarse grain harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.RHRV.CRSGRN.HA.GR10,Coarse grain harvested area annual growth (percent),Coarse grain harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.RHRV.CRSGRN.HA.GR12,Coarse grain harvested area annual growth (percent),Coarse grain harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.YIELD.CRSGRN.HG.NO,Coarse grain yield (hg/ha),Coarse grain yield,,hg/ha,See 'Coarse grain' and 'Crop yield'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5419,1814,,,"coarse grain, production"
QC.YIELD.CRSGRN.HG.GR10,Coarse grain yield annual growth (percent),Coarse grain yield,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.YIELD.CRSGRN.HG.GR12,Coarse grain yield annual growth (percent),Coarse grain yield,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"coarse grain, production"
QC.PRD.RICE.TN.NO,Rice (paddy) production (tonnes),Rice production,,tonnes,See 'Rice (paddy)' and 'Crop production'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5510,27,,,"rice, production"
QC.PRD.RICE.TN.SHP,Rice (paddy) production per capita (tonne/cap),Rice production,,tonne/cap,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.PRD.RICE.TN.GR10,Rice (paddy) production annual growth (percent),Rice production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.PRD.RICE.TN.GR12,Rice (paddy) production annual growth (percent),Rice production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.RHRV.RICE.HA.NO,Rice harvested area (ha),Rice harvested area,,ha,See 'Rice (paddy)' and 'Crop area'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5312,27,,,"rice, production"
QC.RHRV.RICE.HA.GR10,Rice harvested area annual growth (percent),Rice harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.RHRV.RICE.HA.GR12,Rice harvested area annual growth (percent),Rice harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.YIELD.RICE.HG.NO,Rice yield (hg/ha),Rice yield,,hg/ha,See 'Rice (paddy)' and 'Crop yield'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5419,27,,,"rice, production"
QC.YIELD.RICE.HG.GR10,Rice yield annual growth (percent),Rice yield,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.YIELD.RICE.HG.GR12,Rice yield annual growth (percent),Rice yield,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"rice, production"
QC.PRD.WHT.TN.NO,Wheat production (tonnes),Wheat production,,tonnes,See 'Wheat' and 'Crop production.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5510,15,,,"wheat, production"
QC.PRD.WHT.TN.SHP,Wheat production per capita (kg/cap),Wheat production,,tonne/cap,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.PRD.WHT.TN.SHW,Wheat production share of world (percent),Wheat production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.PRD.WHT.TN.GR10,Wheat production annual growth (percent),Wheat production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.PRD.WHT.TN.GR12,Wheat production annual growth (percent),Wheat production,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.RHRV.WHT.HA.NO,Wheat harvested area (ha),Wheat harvested area,,ha,See 'Wheat' and 'Crop area'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5312,15,,,"wheat, production"
QC.RHRV.WHT.HA.SHW,Wheat harvested area share of world (percent),Wheat harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.RHRV.WHT.HA.SHL,Wheat area share of agricultural area (percent),Wheat harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.RHRV.WHT.HA.GR10,Wheat harvested area annual growth (percent),Wheat harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.RHRV.WHT.HA.GR12,Wheat harvested area annual growth (percent),Wheat harvested area,,percent,,,"FAO, Statistics Division (FAOSTAT)",processed,,,,,,"wheat, production"
QC.YIELD.WHT.HG.NO,Wheat yield (hg/ha),Wheat yield,,hg/ha,See 'Wheat' and 'Crop yield'.,FAO,"FAO, Statistics Division (FAOSTAT)",raw,QC,5419,15,,,"wheat, production"
